,,,,,,,,,,,,
Impression date,Advertiser name,IO name,Package name,Impressions,Clicks,CTR,Click-based actions,Contract actions,Adv eCPM,Adv eCPC,Adv Contract eCPA,Adv Invoice
2014/7/21,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,51710,71,0.14%,0,0,0.41901,0.30517,0,21.66714
2014/7/21,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,86156,35,0.04%,0,0,0.09926,0.24433,0,8.55154
2014/7/28,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,144986,150,0.10%,5,5,0.41517,0.40129,12.03881,60.19406
2014/7/28,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,79541,468,0.59%,1,1,0.75461,0.12825,60.02216,60.02216
2014/7/28,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,65764,365,0.56%,2,2,0.91254,0.16442,30.00627,60.01254
2014/7/28,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,128049,177,0.14%,7,7,0.47033,0.34025,8.60359,60.22513
2014/7/29,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,31791,146,0.46%,0,0,0.81531,0.17753,0,25.91952
2014/7/29,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,16368,55,0.34%,0,0,0.59732,0.17776,0,9.77694
2014/7/29,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,959076,530,0.06%,29,29,0.15968,0.28895,5.28079,153.14294
2014/7/29,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,261645,308,0.12%,15,15,0.35435,0.30102,6.181,92.71503
2014/7/30,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,4987,15,0.30%,0,0,0.78144,0.2598,0,3.89706
2014/7/30,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,2671455,994,0.04%,55,55,0.08141,0.21879,3.95412,217.47681
2014/7/30,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,631017,298,0.05%,10,10,0.07776,0.16466,4.9069,49.06902
2014/7/30,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7286,40,0.55%,0,0,0.5471,0.09966,0,3.9862
2014/7/31,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,3143982,1034,0.03%,67,67,0.07276,0.22122,3.41409,228.74405
2014/7/31,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,119839,56,0.05%,0,0,0.13935,0.2982,0,16.69904
2014/7/31,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,11412,62,0.54%,0,0,0.59293,0.10914,0,6.76647
2014/7/31,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,10053,54,0.54%,0,0,0.77016,0.14338,0,7.74239
2014/8/1,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,4389,19,0.43%,0,0,0.86883,0.2007,0,3.8133
2014/8/1,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7138,38,0.53%,0,0,0.53408,0.10032,0,3.81229
2014/8/1,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,49483,26,0.05%,1,1,0.11959,0.22761,5.91776,5.91776
2014/8/1,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,3105324,891,0.03%,54,54,0.07205,0.25112,4.14346,223.74689
2014/8/2,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,40812,21,0.05%,1,1,0.0898,0.17452,3.66497,3.66497
2014/8/2,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,9144,57,0.62%,0,0,0.87487,0.14035,0,7.99981
2014/8/2,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7556,47,0.62%,0,0,0.50466,0.08113,0,3.81318
2014/8/2,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,3011191,995,0.03%,66,66,0.07304,0.22105,3.33254,219.94772
2014/8/3,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,42436,19,0.05%,0,0,0.08482,0.18943,0,3.59926
2014/8/3,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,4578,16,0.35%,0,0,0.80109,0.22921,0,3.66739
2014/8/3,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7469,44,0.59%,0,0,0.51037,0.08663,0,3.81193
2014/8/3,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,2812981,1024,0.04%,88,88,0.07673,0.21079,2.45287,215.85239
2014/8/4,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,165608,162,0.10%,8,8,0.18956,0.19378,3.92403,31.39226
2014/8/4,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,35089,196,0.56%,1,1,0.68937,0.12341,24.1893,24.1893
2014/8/4,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,27540,213,0.77%,1,1,0.87433,0.11305,24.07892,24.07892
2014/8/4,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,3058747,1051,0.03%,63,63,0.09729,0.28315,4.72361,297.58728
2014/8/5,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,47031,19,0.04%,1,1,0.07504,0.18575,3.52929,3.52929
2014/8/5,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,2396885,725,0.03%,52,52,0.08069,0.26678,3.71949,193.41342
2014/8/5,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,5206,28,0.54%,0,0,0.67808,0.12608,0,3.5301
2014/8/5,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7375,34,0.46%,0,0,0.4788,0.10386,0,3.53112
2014/8/6,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,44394,18,0.04%,1,1,0.07947,0.196,3.52799,3.52799
2014/8/6,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,2193905,638,0.03%,54,54,0.08627,0.29665,3.50492,189.26566
2014/8/6,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,4791,22,0.46%,0,0,0.73697,0.16049,0,3.53081
2014/8/6,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,7149,32,0.45%,0,0,0.49384,0.11033,0,3.53047
2014/8/7,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,1940262,543,0.03%,35,35,0.09517,0.34007,5.27587,184.65538
2014/8/7,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,4641,20,0.43%,0,0,0.76017,0.1764,0,3.52793
2014/8/7,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,44746,15,0.03%,0,0,0.07889,0.23532,0,3.52985
2014/8/7,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,6752,31,0.46%,0,0,0.52268,0.11384,0,3.52915
